sample #,MLII,V1
0,1094.0,1094.0
1,1094.0,1094.0
2,1094.0,1094.0
3,1094.0,1094.0
4,1094.0,1094.0
5,1094.0,1094.0
6,1094.0,1094.0
7,1094.0,1094.0
8,1094.0,1094.0
9,1028.0,1028.0
10,982.0,982.0
11,958.0,958.0
12,950.0,950.0
13,957.0,957.0
14,967.0,967.0
15,978.0,978.0
16,981.0,981.0
17,984.0,984.0
18,986.0,986.0
19,984.0,984.0
20,984.0,984.0
21,982.0,982.0
22,978.0,978.0
23,974.0,974.0
24,973.0,973.0
25,975.0,975.0
26,976.0,976.0
27,981.0,981.0
28,977.0,977.0
29,978.0,978.0
30,978.0,978.0
31,983.0,983.0
32,988.0,988.0
33,991.0,991.0
34,985.0,985.0
35,982.0,982.0
36,981.0,981.0
37,985.0,985.0
38,990.0,990.0
39,993.0,993.0
40,989.0,989.0
41,985.0,985.0
42,982.0,982.0
43,984.0,984.0
44,984.0,984.0
45,985.0,985.0
46,987.0,987.0
47,987.0,987.0
48,988.0,988.0
49,989.0,989.0
50,989.0,989.0
51,991.0,991.0
52,996.0,996.0
53,1000.0,1000.0
54,1001.0,1001.0
55,998.0,998.0
56,993.0,993.0
57,986.0,986.0
58,986.0,986.0
59,987.0,987.0
60,988.0,988.0
61,992.0,992.0
62,996.0,996.0
63,998.0,998.0
64,1002.0,1002.0
65,1000.0,1000.0
66,998.0,998.0
67,998.0,998.0
68,999.0,999.0
69,1005.0,1005.0
70,1005.0,1005.0
71,1006.0,1006.0
72,1008.0,1008.0
73,1009.0,1009.0
74,1010.0,1010.0
75,1009.0,1009.0
76,1011.0,1011.0
77,1013.0,1013.0
78,1012.0,1012.0
79,1013.0,1013.0
80,1016.0,1016.0
81,1018.0,1018.0
82,1020.0,1020.0
83,1021.0,1021.0
84,1021.0,1021.0
85,1022.0,1022.0
86,1027.0,1027.0
87,1031.0,1031.0
88,1029.0,1029.0
89,1027.0,1027.0
90,1027.0,1027.0
91,1029.0,1029.0
92,1029.0,1029.0
93,1032.0,1032.0
94,1032.0,1032.0
95,1030.0,1030.0
96,1027.0,1027.0
97,1028.0,1028.0
98,1031.0,1031.0
99,1033.0,1033.0
100,1034.0,1034.0
101,1029.0,1029.0
102,1028.0,1028.0
103,1028.0,1028.0
104,1026.0,1026.0
105,1026.0,1026.0
106,1024.0,1024.0
107,1023.0,1023.0
108,1019.0,1019.0
109,1020.0,1020.0
110,1018.0,1018.0
111,1018.0,1018.0
112,1017.0,1017.0
113,1015.0,1015.0
114,1013.0,1013.0
115,1012.0,1012.0
116,1011.0,1011.0
117,1009.0,1009.0
118,1008.0,1008.0
119,1009.0,1009.0
120,1009.0,1009.0
121,1009.0,1009.0
122,1010.0,1010.0
123,1009.0,1009.0
